"Entrez1"	"Entrez2"	"R"	"P"	"FDR"
4535	102465978	-0.829670310020447	0.000450286563231206	0.0100323330569587
4541	102465978	-0.752747237682343	0.00298223429410616	0.0278243532386253
4536	102465978	-0.862637341022491	0.000147447980680671	0.00502113610359505
4540	102465978	-0.730769217014313	0.00454773488915028	0.0354313512953198
9168	102465978	0.780219793319702	0.00165250016070395	0.0201465207606387
229	102465978	-0.719780206680298	0.00553611704466928	0.0398500562015104
5005	102465978	-0.703296720981598	0.007318567720624	0.0468704568527617
5068	102465978	0.784542381763458	0.00149483358212743	0.0191467881661384
213	6132	-0.763736248016357	0.00237661558943913	0.0242293351527327
2512	6132	0.906593382358551	1.92961786174006e-05	0.00160586513226362
4538	6132	-0.730769217014313	0.00454773488915028	0.0354313512953198
4512	6132	-0.697802186012268	0.00800071892511389	0.0494092016952718
4508	6132	-0.714285731315613	0.00608830347139033	0.0421763733690238
4513	6132	-0.714285731315613	0.00608830347139033	0.0421763733690238
4519	6132	-0.725274741649628	0.00502323618349787	0.0376470566364968
4537	6132	-0.862637341022491	0.000147447980680671	0.00502113610359505
335	6132	-0.758241772651672	0.0026660778187042	0.0259398787455981
4535	6132	-0.829670310020447	0.000450286563231206	0.0100323330569587
4541	6132	-0.752747237682343	0.00298223429410616	0.0278243532386253
4536	6132	-0.862637341022491	0.000147447980680671	0.00502113610359505
4540	6132	-0.730769217014313	0.00454773488915028	0.0354313512953198
9168	6132	0.780219793319702	0.00165250016070395	0.0201465207606387
229	6132	-0.719780206680298	0.00553611704466928	0.0398500562015104
5005	6132	-0.703296720981598	0.007318567720624	0.0468704568527617
5068	6132	0.784542381763458	0.00149483358212743	0.0191467881661384
102465978	6132	1	0	0
213	7276	0.697802186012268	0.00800071892511389	0.0494092016952718
4512	7276	0.769230782985687	0.00211222896756658	0.0226622290987624
4514	7276	0.818681299686432	0.000620988718596394	0.0117354425417807
345	7276	0.791208803653717	0.00127502351658704	0.0174286811391179
4537	7276	0.708791196346283	0.00668178552834942	0.0444571557438811
4535	7276	0.714285731315613	0.00608830347139033	0.0421763733690238
259	7276	0.752747237682343	0.00298223429410616	0.0278243532386253
229	7276	0.785714268684387	0.00145419018811577	0.0187031692583071
7018	7276	0.708791196346283	0.00668178552834942	0.0444571557438811
345	462	0.785714268684387	0.00145419018811577	0.0187031692583071
337	174	0.747252762317657	0.00332674039843095	0.0294747494737157
6288	6289	0.97802197933197	7.75781150430532e-09	4.82923766143006e-06
5004	6289	0.747252762317657	0.00332674039843095	0.0294747494737157
2244	6289	0.835164844989777	0.000380207963134982	0.00902667647030993
2243	6289	0.873626351356506	9.5289061013748e-05	0.00393874106779935
3240	6289	0.802197813987732	0.00096877861986111	0.0149643843886735
2266	6289	0.796703279018402	0.00111365314443534	0.0160772050651902
1401	6289	0.697802186012268	0.00800071892511389	0.0494092016952718
2512	1576	-0.774725258350372	0.00187136218718464	0.0213277730048049
345	1576	0.697802186012268	0.00800071892511389	0.0494092016952718
5950	1576	0.703296720981598	0.007318567720624	0.0468704568527617
259	1576	0.708791196346283	0.00668178552834942	0.0444571557438811
3240	325	0.719780206680298	0.00553611704466928	0.0398500562015104
5265	1066	-0.835164844989777	0.000380207963134982	0.00902667647030993
100033819	1066	-0.868131875991821	0.00011910252263303	0.00447713287071626
283120	1066	-0.868131875991821	0.00011910252263303	0.00447713287071626
2052	1066	0.879120886325836	7.54455999461001e-05	0.00354719682526037
2752	1066	0.703296720981598	0.007318567720624	0.0468704568527617
213	2638	0.780219793319702	0.00165250016070395	0.0201465207606387
2512	2638	-0.884615361690521	5.90575140098082e-05	0.00313680055214212
336	2638	-0.703296720981598	0.007318567720624	0.0468704568527617
4537	2638	0.714285731315613	0.00608830347139033	0.0421763733690238
4536	2638	0.697802186012268	0.00800071892511389	0.0494092016952718
2244	2638	0.725274741649628	0.00502323618349787	0.0376470566364968
5068	2638	-0.817692041397095	0.00063855923160383	0.012023687890907
102465978	2638	-0.851648330688477	0.000220219578060732	0.0064119124107954
6132	2638	-0.851648330688477	0.000220219578060732	0.0064119124107954
1576	2638	0.774725258350372	0.00187136218718464	0.0213277730048049
718	3827	0.774725258350372	0.00187136218718464	0.0213277730048049
213	3263	0.703296720981598	0.007318567720624	0.0468704568527617
2512	3263	-0.802197813987732	0.00096877861986111	0.0149643843886735
336	3263	-0.719780206680298	0.00553611704466928	0.0398500562015104
4508	3263	0.714285731315613	0.00608830347139033	0.0421763733690238
4519	3263	0.774725258350372	0.00187136218718464	0.0213277730048049
6288	3263	0.714285731315613	0.00608830347139033	0.0421763733690238
5004	3263	0.774725258350372	0.00187136218718464	0.0213277730048049
4537	3263	0.758241772651672	0.0026660778187042	0.0259398787455981
335	3263	0.796703279018402	0.00111365314443534	0.0160772050651902
4536	3263	0.868131875991821	0.00011910252263303	0.00447713287071626
2244	3263	0.835164844989777	0.000380207963134982	0.00902667647030993
3240	3263	0.763736248016357	0.00237661558943913	0.0242293351527327
9168	3263	-0.813186824321747	0.000723607503004597	0.0128113103134346
1401	3263	0.763736248016357	0.00237661558943913	0.0242293351527327
5068	3263	-0.812167108058929	0.000744042160901959	0.0131282949308806
102465978	3263	-0.807692289352417	0.000839160418255158	0.0138930149032935
6132	3263	-0.807692289352417	0.000839160418255158	0.0138930149032935
6289	3263	0.708791196346283	0.00668178552834942	0.0444571557438811
2638	3263	0.741758227348328	0.00370131475905877	0.0312712871541
1401	728655	-0.752747237682343	0.00298223429410616	0.0278243532386253
213	2597	-0.763736248016357	0.00237661558943913	0.0242293351527327
2512	2597	0.879120886325836	7.54455999461001e-05	0.00354719682526037
4495	2597	-0.791208803653717	0.00127502351658704	0.0174286811391179
5004	2597	-0.741758227348328	0.00370131475905877	0.0312712871541
4537	2597	-0.840659320354462	0.000319071451182928	0.008107019524954
4535	2597	-0.802197813987732	0.00096877861986111	0.0149643843886735
4536	2597	-0.890109896659851	4.56543600351189e-05	0.00269637942332652
5950	2597	-0.840659320354462	0.000319071451182928	0.008107019524954
9168	2597	0.736263751983643	0.0041077081506331	0.0333296184015786
229	2597	-0.752747237682343	0.00298223429410616	0.0278243532386253
4502	2597	-0.763736248016357	0.00237661558943913	0.0242293351527327
5005	2597	-0.697802186012268	0.00800071892511389	0.0494092016952718
5068	2597	0.828741908073425	0.0004630753528998	0.0102878089643157
102465978	2597	0.752747237682343	0.00298223429410616	0.0278243532386253
6132	2597	0.752747237682343	0.00298223429410616	0.0278243532386253
1576	2597	-0.758241772651672	0.0026660778187042	0.0259398787455981
2638	2597	-0.747252762317657	0.00332674039843095	0.0294747494737157
3263	2597	-0.736263751983643	0.0041077081506331	0.0333296184015786
6288	5320	0.846153855323792	0.000266011973482083	0.00726920340178212
2243	5320	0.774725258350372	0.00187136218718464	0.0213277730048049
6289	5320	0.813186824321747	0.000723607503004597	0.0128113103134346
4495	4499	0.95604395866394	3.36509619058845e-07	8.80156461613995e-05
4536	4499	0.725274741649628	0.00502323618349787	0.0376470566364968
4490	4499	0.751392662525177	0.00306446820922268	0.028506148539168
350	4499	0.802197813987732	0.00096877861986111	0.0149643843886735
4502	4499	0.967032968997955	7.06411160678044e-08	2.68134724098831e-05
2597	4499	-0.780219793319702	0.00165250016070395	0.0201465207606387
2512	6232	0.758241772651672	0.0026660778187042	0.0259398787455981
4538	6232	-0.857142865657806	0.000180934032513846	0.00564851731393528
4512	6232	-0.758241772651672	0.0026660778187042	0.0259398787455981
4508	6232	-0.884615361690521	5.90575140098082e-05	0.00313680055214212
4513	6232	-0.868131875991821	0.00011910252263303	0.00447713287071626
4519	6232	-0.917582392692566	9.90624128682782e-06	0.00104519240695768
6288	6232	-0.752747237682343	0.00298223429410616	0.0278243532386253
5004	6232	-0.769230782985687	0.00211222896756658	0.0226622290987624
4537	6232	-0.824175834655762	0.000530222675120484	0.0108502174642505
335	6232	-0.725274741649628	0.00502323618349787	0.0376470566364968
4535	6232	-0.714285731315613	0.00608830347139033	0.0421763733690238
4541	6232	-0.835164844989777	0.000380207963134982	0.00902667647030993
4536	6232	-0.884615361690521	5.90575140098082e-05	0.00313680055214212
2244	6232	-0.807692289352417	0.000839160418255158	0.0138930149032935
4539	6232	-0.774725258350372	0.00187136218718464	0.0213277730048049
3240	6232	-0.780219793319702	0.00165250016070395	0.0201465207606387
4540	6232	-0.862637341022491	0.000147447980680671	0.00502113610359505
4509	6232	-0.697802186012268	0.00800071892511389	0.0494092016952718
9168	6232	0.851648330688477	0.000220219578060732	0.0064119124107954
102465978	6232	0.824175834655762	0.000530222675120484	0.0108502174642505
6132	6232	0.824175834655762	0.000530222675120484	0.0108502174642505
6289	6232	-0.725274741649628	0.00502323618349787	0.0376470566364968
3263	6232	-0.895604372024536	3.48097715603402e-05	0.00230522157407572
2597	6232	0.697802186012268	0.00800071892511389	0.0494092016952718
6288	2267	0.747252762317657	0.00332674039843095	0.0294747494737157
2243	2267	0.708791196346283	0.00668178552834942	0.0444571557438811
3240	2267	0.818681299686432	0.000620988718596394	0.0117354425417807
6289	2267	0.703296720981598	0.007318567720624	0.0468704568527617
325	2267	0.758241772651672	0.0026660778187042	0.0259398787455981
6288	3929	0.807692289352417	0.000839160418255158	0.0138930149032935
2243	3929	0.769230782985687	0.00211222896756658	0.0226622290987624
2266	3929	0.697802186012268	0.00800071892511389	0.0494092016952718
6289	3929	0.741758227348328	0.00370131475905877	0.0312712871541
5320	3929	0.895604372024536	3.48097715603402e-05	0.00230522157407572
4495	4493	0.928571403026581	4.60743610197767e-06	0.000620807137117121
4536	4493	0.714285731315613	0.00608830347139033	0.0421763733690238
350	4493	0.807692289352417	0.000839160418255158	0.0138930149032935
4502	4493	0.983516454696655	1.61122981623407e-09	1.51968266758441e-06
2597	4493	-0.774725258350372	0.00187136218718464	0.0213277730048049
4499	4493	0.961538434028625	1.6317744133687e-07	4.9793116290295e-05
2512	23521	0.725274741649628	0.00502323618349787	0.0376470566364968
4538	23521	-0.851648330688477	0.000220219578060732	0.0064119124107954
4508	23521	-0.829670310020447	0.000450286563231206	0.0100323330569587
4513	23521	-0.835164844989777	0.000380207963134982	0.00902667647030993
