ENTREZID	Normal	Normal	Normal	Normal	Normal	Normal	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer
105375431	0.015136618	0.032241917	0.009347575	0.061940535	0	0	0.016867309	0.104835985	0.126862086	0	0.092807217	0.248904123	0.061438006
105375401	0	0	0	0	0	0	1.471968793	0.036304682	0	0	0.187478209	0	0.18954955
105375380	0	0	0	0	0	0	0.265042898	0	0	0	0	0	0
105375355	0.227779539	0.117682996	0.062850139	0.026442451	0.116684471	0.048860705	0.413138108	0.20858814	0.56053011	0.03885601	0.096572422	0.211492927	0.2736049
105375342	0	0	0	0	0	0	0	0	0	0	0	0	0
105375304	4.428661955	5.155636035	2.843220584	0.618039818	1.055716646	0.568379632	0	0.130153519	0.514496236	0.046873916	0.112019293	1.497527556	0.064718246
105375297	0	0	0	0	0	0	0	0	0	0	0	0.029292954	0
105375266	0	0	0	0	0	0	0	0	0	0	0	0	0
105375166	0.051661846	0.083632586	0	0.009395795	0.031096115	0.049604777	0.011513752	0	0	0.005522682	0.005279242	0.013069525	0.019062748
105375115	0	0	0	0	0	0.0326885	0	0	0	0	0.03478909	0	0
105375095	0.235673723	0.180719775	0	0.192880033	0.070927947	0.203660709	1.14239788	0.244840898	0.325910321	1.813943434	0.325122174	0	0.782653011
105375050	0	0	0	0	0	0	0	0	0.030067962	0	0	0	0
105375014	0.016134359	0	0.02989118	0	0	0	0	0.023945641	0.020283644	0	0	0	0.017860292
105375013	0.028208649	0.024034456	0	0.025651684	0	0	0.314339717	0.027910383	0.023642059	0.799113088	0.057651942	0	0.052043666
105375009	0	0	0.054465343	0	0	0.021171115	0.024570111	0.021815926	0.092398127	0	0	0	0
105374989	0	0	0	0	0.009874672	0	0	0.004869577	0	0.005261236	0	0	0.003632062
105374952	0.414703439	0.424004914	0.460978043	0.549507176	0.285276373	0.733808752	0.831815698	0.932009252	0.476665631	1.386959545	0.744640011	0.517069104	0.760736808
105374896	0	0	0	0	0	0	0	0	0	0	0	0	0.049809331
105374847	0	0	0	0	0	0	0	0	0	0	0	0	0
105374836	0.310121469	0.099556246	0.070796873	0.134322584	0.048657331	0.025402442	0.793524113	1.385153372	0.105321855	0.009427156	0.051816745	4.40892191	0.587345198
105374791	0	0	0	0	0	0.036513408	0	0	0	0	0	0	0
105374731	0	0.035661514	0	0	0	0	0	0	0	0.044743284	0	0	0
105374729	0.023610536	0	0	0	0	0.068011238	0	0	0	0	0	0	0
105374698	0	0	0	0	0	0	0	0	0	0	0	0	0
105374644	0	0	0	0	0	0	0	0	0	0	0	0	0
105374631	0	0	0	0	0	0	0	0	0	0	0	0	0
105374596	0	0	0	0	0	0	0	0	0	0	0	0	0
105374580	0	0	0	0	0	0	0	0	0	0	0	0	0.038156078
105374524	0.005927059	0	0	0	0	0.025609749	0	0.466218881	0.007451325	0.047520453	0.009085151	0	0.052488729
105374516	0	0	0	0	0.0538108	0	0	0	0	0	0	0	0
105374461	0	0	0	0	0	0	0	0	0	0	0	0	0
105374436	0	0	0	0	0	0	0	0	0	0	0.033952239	0	0
105374428	0	0	0	0	0	0	0	0	0	0	0	0	0
105374374	0.018819493	0	0	0	0	0	0	0	0	0	0	0.214244818	0
105374366	2.779888835	3.240465447	2.094011748	4.291885435	1.37906114	2.947852023	6.63800566	1.904189161	2.880325493	1.37156189	1.0769779	0.289805886	2.367123521
105374344	0	0	0.04637486	0	0	0	0	0	0	0	0.11510798	0	0
105374328	0	0	0	0.029553327	0	0	0	0.032155575	0.027238036	0.052112766	0.049815638	0	0
105374293	0	0	0	0	0	0	0	0.034597771	0	0	0	0.044230772	0
105374250	0.011132429	0	0	0.045554999	0	0.032067475	0.018607934	0.066088315	0.013995364	0.089254737	0	0	0.012323293
105374244	0	0	0	0	0	0	0	0	0	0	0	0	0
105374205	0	0.03079555	0	0	0	0	0	0	0.030292769	0.038638125	0.036934959	0	0
105374177	0.206674992	0.352184251	0.047861829	0.070477874	0.077750675	0	0.100758793	0.051122424	0.054130366	0.220936775	0.158398423	1.225431701	0.324110013
105374171	0	0	0	0	0	0	0	0	0	0.158705544	0	0	0
105374002	0.032636336	0	0	0	0	0.047005235	0	0.048436879	0	0	0.050025831	0.06192308	0.108382581
105373984	0.051105461	0	0.047340045	0	0	0	0.021355786	0.01896191	0	0	0.019583948	0	0
105373958	0.840740388	0.885465058	0.605729603	0.541543304	0.351427416	0.347571924	0.741687979	1.351757471	0.371891301	0.012482728	0.596624493	1.846287496	1.5597449
105373878	0.090784173	0.029006372	0.462523912	0.030958151	0.06830561	0.326884999	0.189682989	0	0.228262415	0.036393305	0.417469082	0.043062706	0.376858448
